n,a_n
57,10743136149274422359994171998286508631614600688175210757.30024998335621436038057057059664864978940160769099523697675802427111017573293099965614277033823284548216334521418078702057604451500212319311298539980810428195424532318934214099160063751141655901
58,265277386622546560220819473235977638509814189285349873013.9248397714965179680832314844003900903106691556416294516240336466359233387613257433494933028674316376300497369367171995906509609915260980271918228724849925153930717424883642937469941988019119768
59,6665242357307474745432298726171223867022307331498817095339.151787184645614913542914511270584867744781021118566137578288671636506004472325197731882359354098742852272392518553405560885540946094455786902212731948468981476771572401276698326077804761233256
60,170352862079842902727067688992045328110584497948198485937525.5172008863176100811670542611826102832260554218097541860564376470697622012955699992855361236538399174309432836228153987180964006827441622771617273652499112058135454189740886159620066624671266
61,4427679997533338681562127107027146594849528694459337978957211.115533988075874693437939457943505894118309063105090422017109542395290136004097968162733151948126770755981696750109065465705300138521870292290108331707291220856813518062898083770070802166231
62,116997330377099723549454841762907670019028403997293342850845870.5379304009079475990578160489829629008878864403462480220759351714175831320099504496344950607277575022902905527896579738285823367369774871000000813965039685280490271718860831645336355351306
63,3142187914589488791063580303723273189344639605946018922522454881.458084571618599225114624019423096372622825660584818885818592415428715752201337715711991279482929196849941637387593674698164828223133738732455858873641830606855170549976859997209654505889
64,85749597195493818052283853073653191657953220119898635643358457567.02778242023595378156513110430526618866762304571707223465400440293331086119825846015259076489526193899292725808148718880415001710293214920686448954360188845783617146414404599077459015883
65,2377204578034533160620943510602066104224572771495491458125419240707.976139691285726082480206134812844977111637503632816685471948837578375725922955489885124718952880303075117332392291166777754084891100301097972361359827043564381073457138997310504023297
66,66931374318722694349976727716663775544237960283817395929880135200399.49083624351059607208394298270678178081381324239961972112175792811715012362342789792990016784407554390456736694921986783374054690073235323418739767261150867898328816617744231431978536
67,1913458502399228597210236782270975716301559001201047379541607400615492.034823002903579270618862104764560059142869124962620484768212196182141852830418599887004896095208140243642022351360749205647155219253206280126629466623551138892933722304227269925743
68,55530931619074289028807023992205368350903541592095165501002655830548889.75823355969449010170234468845578538701653131399246899115198290154261354011807007349192348520242614152325813900387467909840161483812495480342886902750579960025384904116459928365276
69,1635614324505685710979030059083953206113682907481476630451711355916808169.58072307871076746474833700372124333802559371970355544761417948725527561868482365429582590242519294963484275471184533419984787444072676979713375906051740692258408410027353117035
70,48883594018781631959519669956004680757248214683842532743201178656860521040.2200290106463087351664953350303924298152188274507181426546138710895268671149074360761592922796375400613541119339386898987744967073840740415992017249346136399808495339596430841
71,1482144563603913546745412406108211665915827303252273752688709267755663859711.164025745475338190407900056514367111709074861626084355677692246999682299155491422027521031116661263542152902416847607108466782168169267441672496375505681606670290857980972356
72,45580043051460373916559593288808147556169618812966623856816692798941478620494.72814863128700252626568482616862842777525999588985498024766181227022246365893523851181643159362930384149347946301428032711022211342600017810298245914976827236697509464675396
73,1421443532617843766120260397553280234137493901649237604247292189841794006350449.14102138053721586780797202756034300057722140138538565494270480484641726976612724252295836102691489114722461837923221945863971254229903056929162158932584455714100676640451
74,44943983572475116649869155360533254117921904805410800955658991013525645136251882.8862344705095443346267601683746072521915403359827086749453408536767138238780593013057442165285966839497027715048070281967265312532154595718588754323897759796807977524201
75,1440519735574075017354996651511575968400679048030496219487193302874930435094471415.814616931251245468748640326462373199736233461462430909762612127229361459465348537221289026132577454047064732210732705409101330437753490722402317541170710119494152717368
76,46794344645480299772017152759077754656839959019103768318898395673296954830978602320.65038669369518233936363543628878896428390349094431461666564151055167009761331974566150432035357737215392967662049344426608152089336580387180434588134213622858756545471
77,1540341218410638489526703955638990759210193772779783847537735707402599049508450656401.741799613068467129232691274796243316478059432918923928998294228467823018442042662345628338908279261725193902197602846846720154725218067430547805869847618484108094077
78,51370622897755291920121553803350518616720703977827149535268567879388196815320609643381.50136711852431832566892397393992174655005927144935751827963070632650355470645392448147509603448387004738489684582912791061273846292921727861092508383817196760822496
79,1735457190569705017881522147771335409054198660061888658649114799031412432999626762184402.918110449552054796027478206776963109141807113329311565346916830974004455738335827102383654105214256758418375678782428712173069487519342549419883175173520765251612
80,59380365905459138308999084682899641551297059563825345466964704706859073804856287396099688.65822325995396514669654180071235440434025418197235040189320853312258815936098406397074653982175047556725551187380455155361056450002227620702026761035885192255974
81,2057463919381846919548595375028540300221175614961198645795966018286135832471099098902103018.406076308304506312623401182228607018686202983473297874403644437537625387895164646542541269345440114137355417151819371018529731872889910500722211787781037037223
82,72179556391717692814238272502906753797619871948873923446023142705772637924005099462648323557.78323207971820705408990437577274694468997857316224591447692200314777866781416934425624140384980956704330881042750099609653989509393095668231238171026553308658
83,2563437304562077510857409538641550592996714091609150348083155135876988045684857081331627539751.078431977453141826018077709905542466102888292335206147820001756741099447425781758327104652200840116683090990545714228907640492389834340549387805654714923547
