n,a_n_real
36,57579878953860528835045959.421863937057856023846267862039048025505655170459060268222159111330986242354545585595870901011845328020990875512568581286828223231536864531549135077688118991451319633654376696244212771546036819801177439352258223389148259497722923742855105941009854684702502710620971719531066712989012860087125864587914007567740698776445956649
37,735217926594697646817725245.62983535061345057917846264723597892399989157099959466208525237325811097434176900602328028970419183707816876459420612514992363958013682918505469020462403855627359245245598350877852459263948741400618166025918786849430115530424777275832015029337211211622156993374471317796371177833386080909209680583512615890336594400923776907
38,9646893654425317357241414490.0361198885005531978167583532426267000879464379109639970733086301753887346239073304308151606836991959200872048645993841183507234426562987041755566423492853067367462588889042119268506054558557940951964927185848628995586876775644402499976251249316826230028337586637083727508020593278039428779845205302133125881977778412947956
39,129979016435695566120028682211.20107494226741672395067578342976598066145403664266496307934100898928647876511032882401021549276849089356969615384754293312465752994418806236042438675425184881147402672348151165034642230570761496480566912660489247096120899015692957352636895298084156380163475319466799284533183064483726843694529512952631837262633360553541
40,1797122021604455102360807791357.9308395263450017369024107044886974481736065792263839356009697963541516916232455740201146100497081816584546898158550877113927340346843145123989584315117154442540988831923687357621699069833945830101593088714378977765564534509470060902182380094549650932183541807720146412662609844174184765463707689799639086734192779500977
41,25481172151341426063447364430360.209814097342067370344948563599427491591434266849745364728790311116577356389830266019546382160831910424257062952226023415408075372710150973395721254860141036104057607828352814798030558609383558435139725973707216134990879971707242073343657085200236716836693884083799598846396360517307673033693173963783028028530828155257
42,370280955964116738484590968128114.01433295441910957768884463187815773236051760693720087920258347770609877259963221320161888563554545834490995068377861004112490457077058617093100344896817388078531277943373348928544235482781534839762117976693683992685672182162050915301693006512052687882474378314434510827666135819294752952977052557688017673466731898067
43,5511360408590270386351397721042714.3348315309779909370054841883197294508867046537052692515492194060246181354557947537944223696278728545652285211878399338905065177196160186409646360430515572550517909648707059943654965439154820439658670535793930200085072141943415255669507199190826579872593694253207244514652255998248663442777703624105537294396580411601
44,83976709542405803968482181905599176.979857217754312901695028730909512480447987938534380058199492289644349631346429760688264480682436497604227577074701298249342160742925473561352475710668561415821651673233274260310053513293203325313434636672800150020302764312391711572224792726843180255101412655459839332495625892098482756969112087826840545856605784770
45,1309180914749047893665767000134056039.7614383065865305633279473463841370521992823139869703632925295265506363719807393384400867739162359718655354944261104250307472618328331495440372328781211503498123608626875971763787070087296290179493688638448385642068169081350275894658011715835735715350129969418035949844745437318540147509957320981543764414642665676
46,20871790262480656201454441791962037018.017317159668326315001307061343042146931117433115966786725149291271858550761717406106759212890004536543383267688298739121620281371113792518046568409513978871763164990733062598117527410964327906383266494286091231088755824009503557896509446607641701133750627679928105538605586121258292725932445015469434403787429505
47,340115981730990401351447347148560870600.58475259012757511803430434479241876657625317236526559669997110273029136822110638956909198664832609949355980561757733820240349643908391238092900455603040583000627022992196694096914061036760125349284789713198052600904681996094648209168476815540547649049117276827920926252271027148537448697070602233384016364350960
48,5662376798158067734591766584543640878144.8216073749858042327888030282055536857533437053441486210241791992663281866990507675365874969506492059143686491818880802614422217194301072103958882165613910668385804323381073688804292096703153249552823696766922557380634809695355439265772721818647150009323379917487338392972498268188735338528411183579508371796108
49,96267660692878964027021255838917134302569.794650956934867471252172798815635044067499556714541731083717297613052178931275792753779549878306792890931446964753080956047328811470399571409826826387066499214775919873795200030374018432746893833477863201165527009184326391338078891742489034452077786332903653380081418456776072070512855499523276651436095151696
50,1670649983663008711307992318206847186059753.6143336516059374866227753315922988481627508630196548293266582331319165222276240811863994482632172031260136123745080819381489640696871824549262710976650534192600225286878142140042343868849733762059487522564439162151014787647230504781793693972300196586062406838405595135823259236414698923272938980596835744505
51,29582498816059391569181083470874050562306207.589656769859262195246829785763889517498254192358330257121895857049269481469926706360379929280323093247273901387044060961978644500988737527120536591354460438053718047566239824864129145562319560193247272692060901247082615866924967068135355178835763354127950721034371611148878011622795785356554216237797389055
52,534264761281756500111475963103848013300154111.32335982240976466520411316371585152926643786418433391618702320096332265160294033645098421791860044393872015583233396124149085644739054843759395797778617669126674542047888388255286820108613106316782177505308469264287777777433874225066431813146298440458131526048393647527690756478971730256795214842136795996
53,9837507345400771173795595176376102001452772112.9485227525845378562380963905282072824288305109198103933737458087280430148955112002148425144378092007681390656018888106481744994895897729351472115714813610082993938959355033854322750391161822206923091489899988715370456549048790076083134450385970265339860401688155532221769815882872798640861092782547623191
54,184612581547243188411810039551074120190283927757.98458535221210012844168783416714240288007149963528579422775782493294226915890999012146001250548158311279690922348795057608747144988995627989733366973148958993192853707964825946103110350045687335084479589418002290264797863842854622755538470820685772535696586915644072863795724302241672948901108999500874
