k,a_k
174,9.446698692924254608380695280878143403326643847103786138934404107531688492079955e+208
175,4.1082817719377941489760835546314896851392970113712127240015190278910603928596731e+210
176,1.7969269118312093449631269286743994514131541066434808474368579625693244294657538e+212
177,7.9045369275466886815529820198309649586611498074083605681455472663472445800286794e+213
178,3.4969082759374024641915857426690136517708208255837206335438373314118020348634936e+215
179,1.555750521415256512481506276787294912454188467754515196942370931463993424022091e+217
180,6.9603302938121626500324886828673290988828233286458630075081422893557426643955728e+218
181,3.1314129897679775335087690657389041555968670028627907771826605329754091160932057e+220
182,1.4166352094986235208468043525909063836386584079227490283256399824389161050758254e+222
183,6.4442090864235009088070585939509375725596668496411274958809477180040475260894683e+223
184,2.9475555147971693353720772197438550116734141371231282907785790242957442804860102e+225
185,1.3555706505149638939086684501586809299844839487876758877855304436555869237122299e+227
186,6.2681195326163756387810324753665106976165692239053332178254335755896563133774316e+228
187,2.9140340673489036294320571301987088574652470963269159222460283296349665465540595e+230
188,1.3620142525100604604945039021263027306980700875796774891133487396280702665665647e+232
189,6.4000875764838148326175994107127504748561845216086395348492278481435688103235468e+233
190,3.0233965628215180325194752444215645119733742161118869828048768864288615705822583e+235
191,1.4358103299676596824155418890441284835274885699828411773500532982928574713104776e+237
192,6.8545625987126985365844556408272309952130209226970499612550789051247974035156723e+238
193,3.2895100357779946455544171335517341765300342595006060169654107585698752658012241e+240
194,1.5868639144670116578430059278949368636055999217243953100801384040863939049878143e+242
195,7.6947316636549626840100161302961706271926600615652731595052926238705595618321291e+243
196,3.7504298589474232085362341849826978242738574464462436004516189167305084020253814e+245
197,1.8373460250366735449155962506646433767173697193976933411409722310982541769801697e+247
198,9.0471518660695463299315087425216581202398635664731997724778401656667440996029028e+248
199,4.4774693641622175921429480321779550561472196779314659242868251667030356434930564e+250
200,2.2271121696153206283990498360392819298134652934197548556209341070714903099686166e+252
201,1.1133438264654088645563613336559652757440717718535860718948273722230880637554938e+254
202,5.5934968264833232573294565642467279961301266207391502183982956832607955381773839e+255
